Type,Latitude,Longitude,Message
Roadwork,1.3214843881344955,103.7115229118719,(23/7)20:23 Roadworks on AYE (towards Tuas) at Jurong Pier Rd Exit.
Obstacle,1.3121211585321029,103.7626351136082,(23/7)20:21 Obstacle on AYE (towards Tuas ) after Clementi Ave 6 Exit. Avoid lane 5.
