id,zone,name,bearing,longitude,latitude,erpedge1,erpedge2
6,CBD,Anson Road,41.72263399,103.8443154,1.273174438,237154345,237154375
36,AY1,AYE to City before Alexandra Road,121.2935852,103.7957255,1.287401216,148145683,1250103383
66,SR2,Bayfront Ave towards Raffles Ave,2.016954658,103.8606987,1.285487633,1832238046,7016947288
69,SR1,Bayfront Avenue towards Marina Boulevard,-178.3257829,103.8608838,1.285482233,233879603,1832238044
16,BMC,Beach Road,-134.2105624,103.8578141,1.298188778,232083643,4602578374
9,BMC,Bencoolen Street,-141.6142417,103.8536078,1.302884516,595256530,5243359405
40,OR1,Bendemeer Road,-148.7950246,103.86842,1.32735,4368092442,236310354
54,BKE,Bt Timah Expressway (Sb betw Dairy Farm Rd & PIE),124.5780556,103.7855841,1.354976194,236619741,568465418
21,OC1,Buyong Road,14.17218745,103.8431176,1.300535263,26778799,7180597995
27,OC1,Cairnhill Road,-119.5253529,103.8374758,1.305668268,1729345577,6369791261
28,CBD,Central Boulevard,-58.00468865,103.8600461,1.274707275,1539883549,1539944119
74,AYC,Citybound AYE After Jurong Town Hall,140.9032701,103.75874,1.31633,566531127,566531146
26,OC1,Clemenceau Ave,-2.513255352,103.8437624,1.297833279,1363263538,6151700895
53,AYC,Clementi Avenue 2 into AYE (City),-156.9160744,103.76641,1.30882,2507183406,566531196
52,AYC,Clementi Avenue 6 into AYE (City),-168.9729069,103.76085,1.31514,246293922,566531162
31,CT1,CTE after Braddell Road,177.6439978,103.8623389,1.3336493,133745574,133745582
35,CT4,CTE before Braddell Road,157.5424721,103.8595446,1.346308987,439991743,439991745
34,CT1,CTE from Balestier Road,-84.74219887,103.852111,1.318454611,245404238,6095934514
